Navn;Kodeverdi;Eier;Status;Oppdatert;Versjons ID;Beskrivelse;Gyldig fra;Gyldig til;ID;Mer generelt begrep
Andre småhus med 3 boliger eller flere;136;Kartverket;Gyldig;03.01.2022;1;Andre småhus med 3 boliger eller flere;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/136;
Annen boligbygning (sekundærbolig reindrift);199;Kartverket;Gyldig;03.01.2022;1;Annen boligbygning/sekundærbolig (f.eks. sekundærbolig reindrift);01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/199;
Annen bygning for bofellesskap;159;Kartverket;Gyldig;03.01.2022;1;Annen bygning for bofellesskap, eller bygning som har nær tilknytning til / tjener slik(e) bygning(er);01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/159;
Annen bygning for overnatting;529;Kartverket;Gyldig;03.01.2022;1;Annen bygning for overnatting. andre bygninger som ikke kan plasseres i de underpunktene nevnt over, men som er bygning for overnatting, eller bygning som har nær tilknytning til/tjener slik(e) bygning(er);01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/529;
Annen bygninger for religiøse aktiviteter;679;Kartverket;Gyldig;03.01.2022;1;bygninger som ikke passer inn under ovennevnte kategorier, eller bygning som har nær tilknytning til/tjener slik(e) bygning(er).;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/679;
Annen ekspedisjons- og terminalbygning;419;Kartverket;Gyldig;03.01.2022;1;Annen ekspedisjons- og terminalbygning. ;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/419;
Annen fiskeri- og fangstbygning;248;Kartverket;Gyldig;03.01.2022;1;Annen fiskeri- og fangstbygning;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/248;
Annen forretningsbygning;329;Kartverket;Gyldig;03.01.2022;1;Annen forretningsbygning, eller bygning som har nær tilknytning til/tjener slik(e) bygning(er);01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/329;
Annen garasje-/hangarbygning;439;Kartverket;Gyldig;03.01.2022;1;Annen garasje- og hangarbygning, eller bygning som har nær tilknytning til/tjener slik(e) bygning(er);01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/439;
Annen hotellbygning;519;Kartverket;Gyldig;03.01.2022;1;annen bygning for overnatting - godkjent etter hotelloven, eller bygning som har nær tilknytning til/tjener slik(e) bygning(er).;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/519;
Annen idrettsbygning;659;Kartverket;Gyldig;03.01.2022;1;andre idrettsbygninger som ikke passer inn under ovennevnte kategorier , eller bygning som har nær tilknytning til/tjener slik(e) bygning(er).;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/659;
Annen industribygning;219;Kartverket;Gyldig;03.01.2022;1;Annen industribygning. annen industribygning, eller bygning som har nær tilknytning til/tjener slik(e) bygning(er);01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/219;
Annen kontorbygning;319;Kartverket;Gyldig;03.01.2022;1;Annen kontorbygning. ;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/319;
Annen lagerbygning;239;Kartverket;Gyldig;03.01.2022;1;Annen lagerbygning. ;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/239;
Annen landbruksbygning;249;Kartverket;Gyldig;03.01.2022;1;Annen landbruksbygning. ;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/249;
Annen museums- og biblioteksbygning;649;Kartverket;Gyldig;03.01.2022;1;Annen museum/biblioteksbygning. bygninger som ikke passer inn under ovennevnte kategorier , eller bygning som har nær tilknytning til/tjener slik(e) bygning(er).;01.01.2022 00:00;;https://register.geonorge.no/sosi-kodelister/fkb/bygning/5.0/bygningstype/649;
